General,General,Process,Transactions Input,02/09/2021 21:06:58
General,General,Process,RTA Process Initiated,02/09/2021 21:06:59
TC_1,Transaction,Process,Transaction Starts,02/09/2021 21:07:00
General,General,Process,Transactions Input,02/09/2021 21:08:31
General,General,Process,RTA Process Initiated,02/09/2021 21:08:32
TC_1,Transaction,Process,Transaction Starts,02/09/2021 21:08:33
General,General,Process,Transactions Input,02/09/2021 21:11:54
General,General,Process,RTA Process Initiated,02/09/2021 21:11:54
TC_1,Transaction,Process,Transaction Starts,02/09/2021 21:11:55
General,General,Process,Transactions Input,02/09/2021 21:20:03
General,General,Process,RTA Process Initiated,02/09/2021 21:20:03
TC_1,Transaction,Process,Transaction Starts,02/09/2021 21:20:04
General,General,Process,Transactions Input,02/09/2021 22:59:28
General,General,Process,RTA Process Initiated,02/09/2021 22:59:30
TC_1,Transaction,Process,Transaction Starts,02/09/2021 22:59:30
TC_1,Transaction,Success,Transaction with TC_1 Successfull,02/09/2021 23:01:21
General,General,Process,Completed all Tasks. No More Data Left to Process,02/09/2021 23:01:22
General,General,Process,All Report Generation Completed,02/09/2021 23:01:28
General,General,General,RTA Process Completed,02/09/2021 23:01:28
General,General,Process,Transactions Input,02/09/2021 23:08:17
General,General,Process,RTA Process Initiated,02/09/2021 23:08:18
TC_1,Transaction,Process,Transaction Starts,02/09/2021 23:08:19
TC_1,Transaction,Success,Transaction with TC_1 Successfull,02/09/2021 23:10:09
General,General,Process,Completed all Tasks. No More Data Left to Process,02/09/2021 23:10:09
General,General,Process,All Report Generation Completed,02/09/2021 23:10:15
General,General,General,RTA Process Completed,02/09/2021 23:10:16
General,General,Process,Transactions Input,02/09/2021 23:13:06
General,General,Process,RTA Process Initiated,02/09/2021 23:13:09
TC_1,Transaction,Process,Transaction Starts,02/09/2021 23:13:11
General,General,Process,Transactions Input,02/09/2021 23:20:08
General,General,Process,RTA Process Initiated,02/09/2021 23:20:09
TC_1,Transaction,Process,Transaction Starts,02/09/2021 23:20:14
TC_1,Transaction,Success,Transaction with TC_1 Successfull,02/09/2021 23:24:45
General,General,Process,Completed all Tasks. No More Data Left to Process,02/09/2021 23:24:46
General,General,Process,All Report Generation Completed,02/09/2021 23:24:52
General,General,General,RTA Process Completed,02/09/2021 23:24:53
General,General,Process,Transactions Input,02/09/2021 23:35:33
General,General,Process,RTA Process Initiated,02/09/2021 23:35:35
TC_1,Transaction,Process,Transaction Starts,02/09/2021 23:35:37
General,General,Process,Transactions Input,02/09/2021 23:36:31
General,General,Process,RTA Process Initiated,02/09/2021 23:36:32
TC_1,Transaction,Process,Transaction Starts,02/09/2021 23:36:34
TC_1,Transaction,Success,Transaction with TC_1 Successfull,02/09/2021 23:39:07
General,General,Process,Completed all Tasks. No More Data Left to Process,02/09/2021 23:39:07
General,General,Process,All Report Generation Completed,02/09/2021 23:39:14
General,General,General,RTA Process Completed,02/09/2021 23:39:14
General,General,Process,Transactions Input,02/09/2021 23:51:01
General,General,Process,RTA Process Initiated,02/09/2021 23:51:03
TC_1,Transaction,Process,Transaction Starts,02/09/2021 23:51:05
General,General,Process,Transactions Input,02/09/2021 23:57:03
General,General,Process,RTA Process Initiated,02/09/2021 23:57:04
TC_1,Transaction,Process,Transaction Starts,02/09/2021 23:57:05
TC_1,Transaction,Success,Transaction with TC_1 Successfull,02/10/2021 00:00:13
General,General,Process,Completed all Tasks. No More Data Left to Process,02/10/2021 00:00:14
General,General,Process,All Report Generation Completed,02/10/2021 00:00:20
General,General,General,RTA Process Completed,02/10/2021 00:00:20
General,General,Process,Transactions Input,02/10/2021 00:10:43
General,General,Process,RTA Process Initiated,02/10/2021 00:10:45
TC_1,Transaction,Process,Transaction Starts,02/10/2021 00:10:48
General,General,Process,Transactions Input,02/10/2021 00:13:38
General,General,Process,RTA Process Initiated,02/10/2021 00:13:40
TC_1,Transaction,Process,Transaction Starts,02/10/2021 00:13:42
TC_1,Transaction,Success,Transaction with TC_1 Successfull,02/10/2021 00:16:26
General,General,Process,Completed all Tasks. No More Data Left to Process,02/10/2021 00:16:27
General,General,Process,All Report Generation Completed,02/10/2021 00:16:33
General,General,General,RTA Process Completed,02/10/2021 00:16:34
General,General,Process,Transactions Input,02/10/2021 00:20:46
General,General,Process,RTA Process Initiated,02/10/2021 00:20:48
TC_1,Transaction,Process,Transaction Starts,02/10/2021 00:20:50
General,General,Process,Transactions Input,02/10/2021 00:23:39
General,General,Process,RTA Process Initiated,02/10/2021 00:23:41
TC_1,Transaction,Process,Transaction Starts,02/10/2021 00:23:43
TC_1,Transaction,Success,Transaction with TC_1 Successfull,02/10/2021 00:26:02
General,General,Process,Completed all Tasks. No More Data Left to Process,02/10/2021 00:26:04
General,General,Process,All Report Generation Completed,02/10/2021 00:26:11
General,General,General,RTA Process Completed,02/10/2021 00:26:11
General,General,Process,Transactions Input,02/11/2021 00:51:05
General,General,Process,RTA Process Initiated,02/11/2021 00:51:05
TC_1,Transaction,Process,Transaction Starts,02/11/2021 00:51:06
TC_1,Transaction,Success,Transaction with TC_1 Successfull,02/11/2021 00:53:09
TC_2,Transaction,Process,Transaction Starts,02/11/2021 00:53:09
General,General,Process,Transactions Input,02/11/2021 01:02:01
General,General,Process,RTA Process Initiated,02/11/2021 01:02:01
